algorithm,episode_1_avg_reward,episode_1_std_reward,episode_100_avg_reward,episode_100_std_reward,last_10_avg_reward,last_10_success_rate,last_10_avg_steps
Q-learning,-19.1,81.57812206713268,87.1,9.580709785814411,86.863,1.0,9.190000000000001
SARSA,0.81,70.29376857161664,85.89,8.55090053737032,86.635,1.0,8.902
SARSA(lambda=0.1),7.86,64.53557468559491,85.63,9.934440094942444,86.175,1.0,8.639999999999999
SARSA(lambda=0.5),0.64,72.53833744993057,82.63,10.472492539983023,83.85900000000001,1.0,9.184999999999999
SARSA(lambda=0.9),-12.25,99.26090620178722,77.43,17.18444354641721,76.8,1.0,10.514000000000001
Actor-Critic,-361.78,99.90881642778076,76.35,17.075933356627978,76.75500000000001,1.0,9.937999999999999
